Provinsi,Kabupaten,Kecamatan,Kelurahan,Posyandu,nomor_KK,NIK,nama_anak,jenis_kelamin,usiaoktober,latitude,longitude,bulan,status_stunting,tanggal
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Januari,0,2020-01-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Februari,0,2020-02-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Maret,0,2020-03-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,April,0,2020-04-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Mei,0,2020-05-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Juni,1,2020-06-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Juli,1,2020-07-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Agustus,1,2020-08-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,September,1,2020-09-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059774475779,6371058651482250,Anak 1,P,4,-7.8492232,110.3569299,Oktober,1,2020-10-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371053885637685,6371058596429107,Anak 2,L,45,-7.8492232,110.3569299,Januari,0,2020-01-16
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371053885637685,6371058596429107,Anak 2,L,45,-7.8492232,110.3569299,Februari,0,2020-02-16
